datasetKey	searchQuery	publisherKey	title	publisher	datasetCategory
793d37c9-1c68-466f-bc8c-1bfe28aed527	percentNN_0.4844_countNN_31_distanceNN_0.09	NA	CardObs : Observations naturalistes issues de l'outil CardObs-Données de FLEURY Julien (SAPROX)	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
793d37c9-1c68-466f-bc8c-1bfe28aed527	percentNN_0.4844_countNN_31_distanceNN_0.09	NA	CardObs : Observations naturalistes issues de l'outil CardObs-Données de FLEURY Julien (SAPROX)	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
128bc4ad-fc5c-44c2-8005-a1768f587704	percentNN_0.5569_countNN_137_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Perdrix rouge 2011 - 2015 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
128bc4ad-fc5c-44c2-8005-a1768f587704	percentNN_0.5447_countNN_134_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Perdrix rouge 2011 - 2015 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
f97ff554-6da6-43ef-9189-f9b8ef46bce0	percentNN_0.7779_countNN_564_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme FLASH - Programme  FLASH  : Répartition Alouette des Champs  2012 - 2016 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
f97ff554-6da6-43ef-9189-f9b8ef46bce0	percentNN_0.7834_countNN_568_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme FLASH - Programme  FLASH  : Répartition Alouette des Champs  2012 - 2016 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
9ae2d15c-6735-4069-b255-d737d919bcd6	percentNN_0.7949_countNN_31_distanceNN_0.09	NA	Inventaire de la flore de Lot-et-Garonne 2013-2018 - Inventaire de la flore de Lot-et-Garonne 2016	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
9ae2d15c-6735-4069-b255-d737d919bcd6	percentNN_0.8158_countNN_31_distanceNN_0.09	NA	Inventaire de la flore de Lot-et-Garonne 2013-2018 - Inventaire de la flore de Lot-et-Garonne 2016	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
fa52d7a4-a137-4200-bbdd-11c61fa1dc18	percentNN_0.5024_countNN_104_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Alouette lulu 1998 - 2002 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
fa52d7a4-a137-4200-bbdd-11c61fa1dc18	percentNN_0.4928_countNN_102_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Alouette lulu 1998 - 2002 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
19217bc6-84f2-49a9-9e46-ab50777c33ae	percentNN_0.8293_countNN_724_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive musicienne 2004 - 2008 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
19217bc6-84f2-49a9-9e46-ab50777c33ae	percentNN_0.8305_countNN_725_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive musicienne 2004 - 2008 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
36cbcb77-ac64-46b8-a560-15f8386ba30b	percentNN_0.5665_countNN_98_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive littorne 2003 - 2007 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
36cbcb77-ac64-46b8-a560-15f8386ba30b	percentNN_0.5376_countNN_93_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive littorne 2003 - 2007 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
aa19a6f1-a287-4856-91b3-7d7e0bd3b33a	percentNN_0.5508_countNN_103_distanceNN_0.09	NA	Loup 2013 présence occasionnelle communale (réseau Loup-Lynx ONCFS)	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
aa19a6f1-a287-4856-91b3-7d7e0bd3b33a	percentNN_0.5508_countNN_103_distanceNN_0.09	NA	Loup 2013 présence occasionnelle communale (réseau Loup-Lynx ONCFS)	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
